"Step","ColBERTAttn-2025-12-10_00-28-49 - val/auc","ColBERTAttn-2025-12-10_00-28-49 - val/auc__MIN","ColBERTAttn-2025-12-10_00-28-49 - val/auc__MAX","ColBERTPos-2025-12-10_00-28-50 - val/auc","ColBERTPos-2025-12-10_00-28-50 - val/auc__MIN","ColBERTPos-2025-12-10_00-28-50 - val/auc__MAX","ColBERT-2025-12-10_00-28-49 - val/auc","ColBERT-2025-12-10_00-28-49 - val/auc__MIN","ColBERT-2025-12-10_00-28-49 - val/auc__MAX","ColBERTHier-2025-12-10_00-28-48 - val/auc","ColBERTHier-2025-12-10_00-28-48 - val/auc__MIN","ColBERTHier-2025-12-10_00-28-48 - val/auc__MAX"
"111","0.48604175269036204","0.48604175269036204","0.48604175269036204","0.5080376388120106","0.5080376388120106","0.5080376388120106","0.6710007607310083","0.6710007607310083","0.6710007607310083","0.5213174781506272","0.5213174781506272","0.5213174781506272"
"223","0.4883120597380585","0.4883120597380585","0.4883120597380585","0.50979642844669","0.50979642844669","0.50979642844669","0.6929015037474483","0.6929015037474483","0.6929015037474483","0.49283024602973485","0.49283024602973485","0.49283024602973485"
"335","0.4894798508823728","0.4894798508823728","0.4894798508823728","0.49743016870470536","0.49743016870470536","0.49743016870470536","0.7007182217871804","0.7007182217871804","0.7007182217871804","0.49283024602973485","0.49283024602973485","0.49283024602973485"
"447","0.4791694063357764","0.4791694063357764","0.4791694063357764","0.49769930353510883","0.49769930353510883","0.49769930353510883","0.7087752420190506","0.7087752420190506","0.7087752420190506","0.49032785730984","0.49032785730984","0.49032785730984"
"559","0.4868423437631482","0.4868423437631482","0.4868423437631482","0.5003895095288281","0.5003895095288281","0.5003895095288281","0.711715923101669","0.711715923101669","0.711715923101669","0.49032785730984","0.49032785730984","0.49032785730984"
"671","0.4819845632271638","0.4819845632271638","0.4819845632271638","0.5091489616529539","0.5091489616529539","0.5091489616529539","0.7138150981034613","0.7138150981034613","0.7138150981034613","0.4864982969331749","0.4864982969331749","0.4864982969331749"
"783","0.48361624316335944","0.48361624316335944","0.48361624316335944","0.5089762038244043","0.5089762038244043","0.5089762038244043","0.7146507556826204","0.7146507556826204","0.7146507556826204","0.4864982969331749","0.4864982969331749","0.4864982969331749"
"895","0.4881191172065852","0.4881191172065852","0.4881191172065852","0.5134502818571587","0.5134502818571587","0.5134502818571587","0.7123700109716585","0.7123700109716585","0.7123700109716585","0.5042693615095087","0.5042693615095087","0.5042693615095087"
"1007","0.491484874808078","0.491484874808078","0.491484874808078","0.4904784866027922","0.4904784866027922","0.4904784866027922","0.7127094244049523","0.7127094244049523","0.7127094244049523","0.5042693615095087","0.5042693615095087","0.5042693615095087"
"1119","0.48444070081710416","0.48444070081710416","0.48444070081710416","0.5256012421873033","0.5256012421873033","0.5256012421873033","0.7127540253113177","0.7127540253113177","0.7127540253113177","0.4874799531798949","0.4874799531798949","0.4874799531798949"
"1231","0.4841894182315762","0.4841894182315762","0.4841894182315762","0.5035534224333802","0.5035534224333802","0.5035534224333802","0.7163763013018052","0.7163763013018052","0.7163763013018052","0.4874799531798949","0.4874799531798949","0.4874799531798949"
"1343","0.48443910360698683","0.48443910360698683","0.48443910360698683","0.505103154216405","0.505103154216405","0.505103154216405","0.7134387779122907","0.7134387779122907","0.7134387779122907","0.48787281440350866","0.48787281440350866","0.48787281440350866"
"1455","0.4865861299035481","0.4865861299035481","0.4865861299035481","0.4974290827717935","0.4974290827717935","0.4974290827717935","0.7149195704508163","0.7149195704508163","0.7149195704508163","0.48787281440350866","0.48787281440350866","0.48787281440350866"
"1567","0.48815633931208935","0.48815633931208935","0.48815633931208935","0.5072794656643234","0.5072794656643234","0.5072794656643234","0.7173430197324488","0.7173430197324488","0.7173430197324488","0.48787281440350866","0.48787281440350866","0.48787281440350866"
"1679","0.48886440849259405","0.48886440849259405","0.48886440849259405","0.48470917585081186","0.48470917585081186","0.48470917585081186","0.7103834017444836","0.7103834017444836","0.7103834017444836","0.48787281440350866","0.48787281440350866","0.48787281440350866"
"1791","0.48906758706277803","0.48906758706277803","0.48906758706277803","0.4974090097853005","0.4974090097853005","0.4974090097853005","0.7180749153262619","0.7180749153262619","0.7180749153262619","0.48787281440350866","0.48787281440350866","0.48787281440350866"
"1903","0.4885904592248783","0.4885904592248783","0.4885904592248783","0.49983625353334704","0.49983625353334704","0.49983625353334704","0.7075413370719565","0.7075413370719565","0.7075413370719565","0.48787281440350866","0.48787281440350866","0.48787281440350866"
